epoch	train_loss	eval_loss	eval_top1	eval_top5
0	3.248298929	2.7565125	10.34	51.04
1	1.875180116	1.424489063	48.54	93.14
2	1.581161192	1.206317188	56.67	95.48
3	1.415800158	1.200971484	58.67	93.66
4	1.307449018	1.00715625	65.41	96.62
5	1.219962724	0.960575391	67.49	96.59
6	1.145371809	0.767207031	74.07	97.96
7	1.097052275	0.727125391	75.87	98.33
8	1.058902638	0.868786328	71.84	96.74
9	1.029967855	0.875499219	71.6	96.94
10	1.008270129	0.658589453	78.49	98.6
11	0.979965491	0.696731445	77.32	98.27
12	0.955648414	0.654223633	79.28	98.59
13	0.937021767	0.627344922	80.3	98.76
14	0.921999614	0.628849414	80.23	98.63
15	0.907970639	0.599769922	81.38	98.61
16	0.891275436	0.560805469	83.55	98.84
17	0.883933046	0.563825781	82.58	98.76
18	0.876909058	0.552938086	82.92	98.94
19	0.866110206	0.521756641	84.04	99.16
20	0.857964861	0.535646875	83.71	98.96
21	0.851371359	0.497653906	85.34	99.16
22	0.844313991	0.533400977	83.76	99.03
23	0.839236879	0.585788672	81.64	98.79
24	0.828657518	0.552098047	83.24	99.03
25	0.826758837	0.558573828	83.1	99.09
26	0.819272995	0.486600195	85.54	99.23
27	0.818950207	0.540745703	83.4	98.67
28	0.813647096	0.560411719	82.42	99.2
29	0.808489368	0.515059668	85.05	98.99
30	0.80332388	0.496122168	85.25	99.25
31	0.80295525	0.555317578	83.64	98.92
32	0.797303519	0.54446748	83.11	99.05
33	0.794036469	0.482727148	85.88	99.38
34	0.794658964	0.487370508	85.39	99.1
35	0.787870559	0.499852734	84.67	99.19
36	0.783728646	0.553506055	82.83	98.92
37	0.783627947	0.482311914	86.16	99.2
38	0.77982569	0.476629492	85.39	99.23
39	0.778859162	0.50698457	85.26	99.1
40	0.775206351	0.451594531	86.57	99.31
41	0.773735028	0.465251172	86.15	99.2
42	0.770103759	0.459180664	86.52	99.22
43	0.772756316	0.525367188	84.41	99.13
44	0.768188632	0.421790234	87.5	99.35
45	0.762524275	0.457614453	86.44	99.29
46	0.762528327	0.424380273	87.75	99.36
47	0.763922918	0.491830859	85.5	99.08
48	0.759271677	0.436616602	87.25	99.45
49	0.759620945	0.434770508	87.18	99.39
50	0.75444539	0.44116582	87.22	99.43
51	0.756257919	0.489529297	85.26	99.34
52	0.754076407	0.474140039	86.09	99.2
53	0.75264617	0.466846875	86.08	99.31
54	0.751979641	0.423386523	87.49	99.45
55	0.750397203	0.457229492	86.93	99.15
56	0.750809209	0.449776172	86.99	99.36
57	0.748477568	0.448949219	87.03	99.33
58	0.74731853	0.463469727	87.04	99.26
59	0.745166371	0.430548242	87.57	99.42
60	0.740091249	0.456172656	86.99	99.2
61	0.744491501	0.447954004	86.8	99.27
62	0.747490401	0.453470508	87.18	99.09
63	0.742665454	0.447493555	86.74	99.29
64	0.741301644	0.440970703	86.84	99.26
65	0.739392723	0.524563281	84.4	99.14
66	0.740189683	0.453956445	86.68	99.26
67	0.736688534	0.472848633	86.42	99.14
68	0.737041825	0.417105273	88.11	99.35
69	0.738313532	0.423389258	87.56	99.38
70	0.737040434	0.411540625	88.03	99.38
71	0.733245045	0.455905078	86.75	99.33
72	0.733660117	0.401535547	87.9	99.36
73	0.730736501	0.437018945	87.35	99.36
74	0.732129644	0.412206445	88.3	99.43
75	0.729661699	0.417343164	87.73	99.23
76	0.730934137	0.445073633	86.83	99.38
77	0.731582551	0.449687891	86.87	99.23
78	0.727865361	0.503712109	85.03	99.26
79	0.726917143	0.441380469	87.13	99.19
80	0.725564357	0.442150195	86.43	99.43
81	0.725932248	0.403683594	88.31	99.52
82	0.729880196	0.409923633	87.8	99.4
83	0.728249472	0.460421875	86.7	98.91
84	0.726778753	0.489904492	85.38	98.89
85	0.723906053	0.460147656	86.34	99.25
86	0.721343217	0.439050781	88.05	99
87	0.720162729	0.39317793	88.37	99.37
88	0.71994038	0.417185547	87.82	99.36
89	0.723368667	0.399761523	88.47	99.39
90	0.719567958	0.427315039	87.31	99.42
91	0.719242947	0.456413086	86.46	99.24
92	0.715378798	0.516194043	84.44	99.21
93	0.722174831	0.419137891	87.91	99.38
94	0.717510153	0.396642285	88.63	99.46
95	0.714701775	0.425355859	87.33	99.45
96	0.719667569	0.467544141	86.18	99.29
97	0.719716843	0.398747656	88.54	99.33
98	0.717215055	0.423360547	87.76	99.54
99	0.658917814	0.325074414	91.15	99.7
100	0.633436914	0.321792773	91.34	99.64
101	0.629010738	0.31450918	91.71	99.62
102	0.622273123	0.317566797	91.41	99.67
103	0.620157908	0.315546484	91.66	99.63
104	0.612385086	0.315254492	91.64	99.64
105	0.612179705	0.320399023	91.54	99.63
106	0.610487325	0.310595508	91.67	99.57
107	0.607789299	0.312916992	91.91	99.62
108	0.604489961	0.314351758	91.82	99.57
109	0.603521238	0.317769141	91.68	99.48
110	0.603828713	0.318398438	91.7	99.53
111	0.604516534	0.311473242	91.92	99.59
112	0.601498834	0.312967188	91.85	99.64
113	0.597756649	0.318620508	91.91	99.59
114	0.59629736	0.307007617	91.99	99.65
115	0.596192664	0.311759766	91.78	99.56
116	0.593590504	0.312086523	91.89	99.6
117	0.592923886	0.311062109	91.97	99.61
118	0.591306068	0.310956836	92.15	99.66
119	0.589433717	0.316706836	91.84	99.6
120	0.588564089	0.308316602	91.96	99.7
121	0.589907415	0.3145	91.68	99.62
122	0.589802725	0.312615234	91.98	99.59
123	0.586584854	0.31074668	91.92	99.66
124	0.589006699	0.312049219	91.96	99.65
125	0.58597565	0.313778906	91.84	99.58
126	0.583250991	0.311873047	91.85	99.65
127	0.58369164	0.318125977	91.86	99.57
128	0.582326281	0.321757031	91.77	99.51
129	0.582735784	0.316708984	91.99	99.6
130	0.582483652	0.322455859	91.61	99.52
131	0.585300415	0.31402207	91.9	99.62
132	0.579656453	0.3196125	91.77	99.56
133	0.58243149	0.318742969	91.79	99.5
134	0.582472698	0.313812305	91.96	99.57
135	0.580415012	0.317845508	92	99.62
136	0.580297535	0.323711523	91.58	99.59
137	0.580380682	0.314420117	91.91	99.65
138	0.580879672	0.323823047	91.76	99.59
139	0.582620303	0.317378125	91.87	99.55
140	0.579707337	0.318676953	91.68	99.55
141	0.577775606	0.314888477	91.8	99.58
142	0.577220095	0.320539648	91.64	99.63
143	0.577945425	0.317116211	91.75	99.58
144	0.576519983	0.325447461	91.55	99.55
145	0.577554341	0.32116875	91.72	99.55
146	0.574961806	0.314810156	91.91	99.5
147	0.575696582	0.318772461	91.64	99.56
148	0.579551016	0.321717969	91.69	99.61
149	0.571019995	0.308727734	92.05	99.63
150	0.569051378	0.309178125	92.07	99.54
151	0.567763316	0.308628906	92.08	99.61
152	0.564901852	0.304699609	92.17	99.64
153	0.567252864	0.305461133	92.17	99.58
154	0.565479143	0.305475781	92.13	99.63
155	0.563769655	0.307686133	92.01	99.55
156	0.562420399	0.304660547	92.21	99.61
157	0.562798664	0.305068555	92.22	99.6
158	0.562908622	0.306233789	92.2	99.66
159	0.563078226	0.304864648	92.32	99.62
160	0.560241857	0.306380469	92.1	99.63
161	0.563540141	0.305337305	92.15	99.62
162	0.562360778	0.303871875	92.19	99.62
163	0.561602186	0.303242969	92.17	99.59
164	0.56270985	0.304818555	92.1	99.63
165	0.562288809	0.306107031	92.1	99.62
166	0.561523105	0.304424023	92.06	99.62
167	0.560870511	0.308506055	92.06	99.56
168	0.56221737	0.303761328	92.16	99.63
169	0.562649212	0.306394922	92.09	99.63
170	0.559266116	0.304605078	92.25	99.62
171	0.561115373	0.304073242	92.27	99.64
172	0.562179052	0.304608203	92.45	99.61
173	0.560088953	0.302857031	92.28	99.62
174	0.560061754	0.307048828	92.26	99.6
175	0.560932305	0.303781445	92.29	99.65
176	0.56057124	0.306501953	92.27	99.64
177	0.558770761	0.306333594	92.28	99.63
178	0.561564671	0.303583008	92.32	99.61
179	0.559013985	0.305181445	92.18	99.59
180	0.557860043	0.308533594	92.34	99.57
181	0.559751355	0.303798633	92.26	99.64
182	0.559924306	0.305727148	92.2	99.59
183	0.55952033	0.301850781	92.24	99.61
184	0.561850486	0.303092383	92.28	99.63
185	0.560480327	0.304855469	92.25	99.6
186	0.559135721	0.306874219	92.14	99.57
187	0.560000919	0.304619727	92.32	99.63
188	0.558528465	0.303999609	92.32	99.6
189	0.558582655	0.30454668	92.23	99.61
190	0.557781797	0.306132813	92.37	99.55
191	0.558640626	0.305539063	92.32	99.61
192	0.55699378	0.303598828	92.25	99.58
193	0.557838208	0.304789453	92.22	99.62
194	0.558443939	0.305247852	92.23	99.63
195	0.558813078	0.307541016	92.18	99.61
196	0.558303398	0.303170313	92.22	99.6
197	0.558083709	0.304772852	92.18	99.64
198	0.557482258	0.305385156	92.25	99.61
199	0.559062168	0.305208789	92.28	99.61
